"altitude";"co_a";"co_w";"pt";"gps_fix";"heading";"humidity";"latitude";"lonet_bat";"longitude";"no2_a";"no2_w";"pm1";"pm10";"pm2_5";"w_pm1";"w_pm10";"w_pm2_5";"sample_flow_rate";"sampling_period";"speed";"temp";"date";"retries";"last_organicity_sync";"timestamp";"id";"m_co";"m_no2"
0;267.5;191.8;0;0;0;14.1;0;0;0;288.5;258.7;17.939;22.25;22.126;8;12;11;3.385;64.841;0;37.2;19800106070851;0;"";"2017-02-10 04:09:55.767816+00";24;479.48721;481.09891
0;267.5;190.2;0;0;0;14.1;0;0;0;292.5;261.1;18.133;22.238;22.146;7;11;10;3.407;64.84;0;37.1;19800106070746;0;"";"2017-02-10 04:08:49.810157+00";24;477.87549;479.48721
0;265.9;192.6;0;0;0;14.1;0;0;0;290.1;258.7;17.677;21.848;21.753;8;12;11;3.451;64.844;0;37.1;19800106070641;0;"";"2017-02-10 04:07:44.866361+00";24;480.29306;481.90479
0;265.9;191.8;0;0;0;14.1;0;0;0;292.5;258.7;17.862;21.989;21.902;6;10;9;3.382;64.837;0;37;19800106070536;0;"";"2017-02-10 04:06:39.772427+00";24;480.29306;481.90479
0;270.8;191;0;0;0;14.1;0;0;0;291.7;257.9;17.538;21.614;21.52;7;11;10;3.4;64.843;0;37;19800106070431;0;"";"2017-02-10 04:05:34.774978+00";24;480.29306;479.48721
0;270;192.6;0;0;0;14.1;0;0;0;288.5;261.1;18.587;22.872;22.779;6;10;9;3.284;64.843;0;36.9;19800106070326;0;"";"2017-02-10 04:04:30.71413+00";24;480.29306;481.09891
0;271.6;191;0;0;0;14.2;0;0;0;286.1;261.1;17.65;21.767;21.64;6;10;9;3.354;64.839;0;36.8;19800106070221;0;"";"2017-02-10 04:03:24.743123+00";24;483.51651;478.68134
0;267.5;190.2;0;0;0;14.2;0;0;0;289.3;258.7;17.44;21.472;21.377;7;11;10;3.344;64.845;0;36.8;19800106070116;0;"";"2017-02-10 04:02:19.646899+00";24;481.09891;478.68134
0;270;189.4;0;0;0;14.2;0;0;0;291.7;258.7;17.492;21.545;21.454;6;10;9;3.325;64.84;0;36.8;19800106070011;0;"";"2017-02-10 04:01:14.564957+00";24;482.71063;482.71063
0;263.5;191.8;0;0;0;14.2;0;0;0;291.7;257.9;17.597;21.556;21.476;6;10;9;3.287;64.843;0;36.8;19800106065906;0;"";"2017-02-10 04:00:09.53639+00";24;482.71063;480.29306
0;269.2;191;0;0;0;14.2;0;0;0;288.5;259.5;16.851;20.762;20.678;6;9;8;3.361;64.839;0;36.7;19800106065801;0;"";"2017-02-10 03:59:05.559885+00";24;483.51651;481.90479
0;267.5;194.2;0;0;0;14.2;0;0;0;293.3;261.1;16.699;20.473;20.391;6;10;9;3.358;64.846;0;36.7;19800106065656;0;"";"2017-02-10 03:57:59.380055+00";24;482.71063;481.09891
0;268.4;194.2;0;0;0;14.2;0;0;0;291.7;261.9;16.974;20.935;20.847;6;9;8;3.352;64.841;0;36.7;19800106065551;0;"";"2017-02-10 03:56:54.341856+00";24;484.32236;484.32236
0;268.4;191.8;0;0;0;14.2;0;0;0;290.9;258.7;16.601;20.436;20.32;6;10;9;3.34;64.843;0;36.7;19800106065446;0;"";"2017-02-10 03:55:49.314483+00";24;484.32236;480.29306
0;265.9;187.8;0;0;0;14.2;0;0;0;289.3;258.7;17.478;21.434;21.34;7;11;10;3.316;64.85;0;36.7;19800106065341;0;"";"2017-02-10 03:54:44.40342+00";24;481.90479;485.12823
0;267.5;190.2;0;0;0;14.2;0;0;0;292.5;264.3;17.377;21.531;21.431;6;10;9;3.27;64.847;0;36.7;19800106065236;0;"";"2017-02-10 03:53:40.286846+00";24;483.51651;484.32236
0;265.9;185.3;0;0;0;14.3;0;0;0;290.1;258.7;16.87;20.865;20.773;6;10;9;3.323;64.846;0;36.7;19800106065131;0;"";"2017-02-10 03:52:34.247515+00";24;484.32236;481.90479
0;268.4;188.6;0;0;0;14.3;0;0;0;285.3;261.1;17.012;21.11;20.982;7;11;10;3.284;64.85;0;36.7;19800106065026;0;"";"2017-02-10 03:51:29.230905+00";24;481.90479;482.71063
0;268.4;190.2;0;0;0;14.3;0;0;0;293.3;265.1;16.635;20.516;20.438;6;10;9;3.353;64.844;0;36.6;19800106064920;0;"";"2017-02-10 03:50:24.179985+00";24;482.71063;484.32236
0;265.1;191;0;0;0;14.3;0;0;0;286.9;258.7;18.136;22.326;22.244;7;11;10;3.199;64.85;0;36.6;19800106064815;0;"";"2017-02-10 03:49:19.149988+00";24;483.51651;481.09891
0;264.3;190.2;0;0;0;14.3;0;0;0;294.9;264.3;16.622;20.438;20.345;6;10;9;3.323;64.851;0;36.5;19800106064710;0;"";"2017-02-10 03:48:14.974444+00";24;482.71063;483.51651
0;265.9;192.6;0;0;0;14.4;0;0;0;294.1;258.7;17.078;21.007;20.921;6;9;8;3.284;64.847;0;36.5;19800106064605;0;"";"2017-02-10 03:47:08.964746+00";24;483.51651;481.90479
0;265.9;190.2;0;0;0;14.4;0;0;0;290.9;265.1;16.57;20.436;20.346;6;9;8;3.354;64.842;0;36.5;19800106064500;0;"";"2017-02-10 03:46:03.914286+00";24;483.51651;483.51651
0;265.9;191;0;0;0;14.4;0;0;0;290.1;258.7;16.903;20.693;20.61;6;10;9;3.344;64.84;0;36.5;19800106064355;0;"";"2017-02-10 03:44:59.28319+00";24;484.32236;484.32236
0;268.4;187.8;0;0;0;14.3;0;0;0;291.7;264.3;17.125;20.876;20.794;7;11;10;3.325;64.844;0;36.5;19800106064250;0;"";"2017-02-10 03:43:53.851722+00";24;485.12823;485.93408
0;269.2;190.2;0;0;0;14.4;0;0;0;287.7;264.3;16.529;20.287;20.198;7;11;10;3.44;64.845;0;36.5;19800106064145;0;"";"2017-02-10 03:42:49.775749+00";24;485.93408;485.93408
0;265.9;191.8;0;0;0;14.4;0;0;0;291.7;261.9;17.026;20.925;20.833;7;11;10;3.36;64.851;0;36.4;19800106064040;0;"";"2017-02-10 03:41:43.80634+00";24;486.73996;486.73996
0;267.5;189.4;0;0;0;14.4;0;0;0;290.1;258.7;16.902;20.837;20.683;6;10;9;3.355;64.843;0;36.4;19800106063935;0;"";"2017-02-10 03:40:38.737179+00";24;486.73996;485.12823
0;268.4;191;0;0;0;14.4;0;0;0;294.9;261.9;16.487;20.36;20.245;8;12;11;3.347;64.841;0;36.4;19800106063830;0;"";"2017-02-10 03:39:33.722666+00";24;489.15753;488.35165
0;267.5;187.8;0;0;0;14.4;0;0;0;290.9;259.5;16.565;20.259;20.178;7;11;10;3.331;64.842;0;36.3;19800106063725;0;"";"2017-02-10 03:38:29.986725+00";24;486.73996;489.15753
0;267.5;191;0;0;0;14.4;0;0;0;290.1;264.3;16.852;20.67;20.581;7;11;10;3.299;64.844;0;36.3;19800106063620;0;"";"2017-02-10 03:37:24.596052+00";24;487.54581;487.54581
0;266.7;187;0;0;0;14.5;0;0;0;290.9;259.5;17.299;21.15;21.065;7;11;10;3.237;64.853;0;36.3;19800106063515;0;"";"2017-02-10 03:36:18.661018+00";24;488.35165;488.35165
0;268.4;193.4;0;0;0;14.5;0;0;0;292.5;261.9;16.866;20.736;20.643;6;10;9;3.257;64.845;0;36.2;19800106063410;0;"";"2017-02-10 03:35:13.558383+00";24;489.96338;490.76926
0;269.2;190.2;0;0;0;14.5;0;0;0;291.7;258.7;17.211;21.093;21.004;7;11;10;3.156;64.848;0;36.2;19800106063305;0;"";"2017-02-10 03:34:08.52642+00";24;488.35165;486.73996
0;269.2;189.4;0;0;0;14.5;0;0;0;290.9;258.7;17.998;21.94;21.857;8;12;11;3.098;64.845;0;36.2;19800106063200;0;"";"2017-02-10 03:33:03.493918+00";24;490.76926;488.35165
0;156.3;188.6;0;0;0;14.5;0;0;0;303;258.7;16.948;20.832;20.734;8;12;11;3.249;64.847;0;36.2;19800106063055;0;"";"2017-02-10 03:32:00.065869+00";24;488.35165;484.32236
0;267.5;191;0;0;0;14.5;0;0;0;290.1;258.7;16.651;20.305;20.229;8;12;11;3.281;64.848;0;36.2;19800106062950;0;"";"2017-02-10 03:30:53.408577+00";24;489.96338;492.38098
0;264.3;191;0;0;0;14.5;0;0;0;291.7;265.1;16.273;20.048;19.917;7;11;10;3.347;64.846;0;36.2;19800106062845;0;"";"2017-02-10 03:29:48.342979+00";24;488.35165;489.15753
0;265.9;187.8;0;0;0;14.6;0;0;0;286.9;265.1;16.582;20.293;20.218;7;11;10;3.33;64.847;0;36.1;19800106062740;0;"";"2017-02-10 03:28:43.274767+00";24;491.5751;490.76926
0;265.1;189.4;0;0;0;14.6;0;0;0;290.1;261.9;17.158;20.953;20.835;9;13;12;3.297;64.85;0;36.1;19800106062635;0;"";"2017-02-10 03:27:38.227593+00";24;491.5751;490.76926
